,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds,learner
0,imdb,target1,imdb_score,0.5877902989552756,"[0.5713983267725695, 0.579141355538871, 0.6013198171337706, 0.5816793289015512, 0.6054126664296157]",0.5919542971054311,"[0.6102782105830887, 0.5731386198547216, 0.6252074121338064, 0.552204434279906, 0.5989428086756331]",0.5886512885316049,"[0.5887515012041071, 0.5757529385643613, 0.6117440868796407, 0.5657419769569302, 0.6012659390529853]",0.5167614162915095,"[0.5290963568257528, 0.5063751884837807, 0.5416735024775581, 0.46250086242134614, 0.5441611712491101]",0.7730396148930412,"[0.7771691811317568, 0.766609378231102, 0.7911015044719276, 0.7511277232275764, 0.7791902874028432]",DecisionTreeClassifier
1,imdb,target3,gross,0.7468863622657681,"[0.7594609506677651, 0.7533115671641791, 0.7340297002768399, 0.7405352112676056, 0.7470943819524507]",0.7505046297572153,"[0.7664201286757573, 0.755913674488738, 0.7340297002768399, 0.74782331088925, 0.7483363344554921]",0.748506397740986,"[0.7624215521200062, 0.7545529122231337, 0.7340297002768399, 0.7438271604938271, 0.7477006635911233]",0.7473366176870799,"[0.765295027446228, 0.7531074693746291, 0.728996931996197, 0.7441436083006997, 0.7451400513176458]",0.7505046297572153,"[0.7664201286757573, 0.755913674488738, 0.7340297002768399, 0.74782331088925, 0.7483363344554921]",DecisionTreeClassifier
2,imdb,target2,content_rating,0.4555543583221255,"[0.6106053863999834, 0.46735037165304677, 0.3301168421090697, 0.4492208032886554, 0.42047838815987254]",0.4189532194295499,"[0.46807944558294695, 0.4321025318306452, 0.3107766982187109, 0.45162561864398854, 0.432181802871458]",0.4293093548503747,"[0.5089981258440311, 0.4462099553471511, 0.3157510165084289, 0.449938410534737, 0.42564926601752534]",0.1692392370552365,"[0.44477512754705756, 0.4014210577291251, 0.0, 0.0, 0.0]",0.9096956699741918,"[0.9121132989506909, 0.9061902265760465, 0.9065671551714718, 0.9137573184556561, 0.9098503507170937]",DecisionTreeClassifier
3,mushroom,target1,Class,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",DecisionTreeClassifier
4,mushroom,target3,habitat,0.4580537604969293,"[0.4620537743179252, 0.4397162525897671, 0.45302641977782226, 0.48106400448201053, 0.45440835131712176]",0.4547748245183062,"[0.46094915444123363, 0.4452578488308301, 0.453389326792436, 0.47196234278960714, 0.4423154497374245]",0.4529231762478602,"[0.4586012301063442, 0.44010037553156334, 0.4513375351727366, 0.4708946555650122, 0.44368208486364485]",0.1924314998089493,"[0.0, 0.20303999980291917, 0.2624412557510514, 0.2520725219333982, 0.2446037215573777]",0.8974258897940024,"[0.8964480953718583, 0.8972213766864111, 0.897836023630577, 0.8985474110357293, 0.8970765422454363]",DecisionTreeClassifier
5,mushroom,target2,population,0.3029075382091917,"[0.31008819665930976, 0.29899033378841694, 0.3239383567971031, 0.28811967541491396, 0.29340112838621507]",0.3158215478553234,"[0.3158000794579561, 0.31390551741648287, 0.33917389095221645, 0.3071075470708274, 0.30312070437913446]",0.3082393846092155,"[0.31279460233976847, 0.3054625357495407, 0.3307541731947658, 0.2952901351542028, 0.29689547660779986]",0.2116751889942539,"[0.2157258162691981, 0.21174306990469882, 0.23761078205579744, 0.20101584990452218, 0.1922804268370531]",0.8072278955173454,"[0.8102917721967712, 0.8061012579528688, 0.8091817939417671, 0.8058147928126208, 0.804749860682699]",DecisionTreeClassifier
6,census,target1,income,0.7453816087357539,"[0.7420139123913021, 0.7419053370648598, 0.7459812383288672, 0.748481141197892, 0.7485264146958484]",0.7482563185976897,"[0.7435755871201271, 0.7468932589314587, 0.750141625594047, 0.7502914519987691, 0.7503796693440463]",0.746785115347065,"[0.7427863926948717, 0.7443186064871901, 0.7480032475438134, 0.7493758958515571, 0.7494414341578928]",0.7381467657021614,"[0.7328726400693594, 0.7366222100359258, 0.7407052675172483, 0.739851655795758, 0.7406820550925162]",0.7482563185976897,"[0.7435755871201271, 0.7468932589314587, 0.750141625594047, 0.7502914519987691, 0.7503796693440463]",DecisionTreeClassifier
7,census,target3,workclass,0.2196441294720713,"[0.2212838684976369, 0.22268033840018125, 0.22219602554315906, 0.20928339933514964, 0.2227770155842299]",0.2245153682900629,"[0.22707270157790704, 0.2268992286631271, 0.22852897650403695, 0.21265446264001855, 0.22742147206522523]",0.2217525984419461,"[0.22382814320238395, 0.2245682743025044, 0.22506094358250653, 0.21085419634289115, 0.22445143477944485]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8815704076561728,"[0.8819976861418298, 0.8813307858175957, 0.8819951464081385, 0.8807065281577083, 0.8818218917555919]",DecisionTreeClassifier
8,census,target2,marital-status,0.3944787343286929,"[0.38581738334867194, 0.3923790060949757, 0.395819918204207, 0.4118327578002515, 0.3865446061953587]",0.3950514495202037,"[0.3906096701667188, 0.3909167778826233, 0.39637639078832715, 0.4127358792566029, 0.38461852950674646]",0.3946210464027163,"[0.3879731820539755, 0.39159632001626477, 0.39586541431407346, 0.4121590302691906, 0.38551128536007745]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.9618131781132988,"[0.9608644122385884, 0.9608784389822967, 0.9625679756848394, 0.9631553055308932, 0.9615997581298767]",DecisionTreeClassifier
9,bank,target1,y,0.704754051155329,"[0.6979287537711766, 0.6806818181818182, 0.684198080400612, 0.7476185114288931, 0.7133430919941448]",0.7103053204845348,"[0.7068766865771202, 0.7061118179417625, 0.668421855921856, 0.7426994812934555, 0.7274167606884797]",0.7070043290076857,"[0.7022569766149057, 0.6919052447023633, 0.67573706687566, 0.7451177100053504, 0.7200046468401486]",0.6754296837666276,"[0.6676160326381969, 0.6773082231684241, 0.6133685688238363, 0.7180489574286141, 0.7008066367740662]",0.7103053204845348,"[0.7068766865771202, 0.7061118179417625, 0.668421855921856, 0.7426994812934555, 0.7274167606884797]",DecisionTreeClassifier
10,bank,target3,housing,0.504998450904216,"[0.49729559748427676, 0.5013197586726998, 0.5033775034530387, 0.4948349710254472, 0.5281644238856181]",0.5049848099752978,"[0.49728283764428344, 0.5013246425567703, 0.5033072696534235, 0.49473549049820237, 0.5282738095238095]",0.5044654064286236,"[0.49703334208453664, 0.5009857382550336, 0.5025692963752665, 0.4936086529006882, 0.5281300025275929]",0.5031968241306466,"[0.497063582354944, 0.501301921484888, 0.4960004874155705, 0.4941014855620079, 0.5275166438358221]",0.5049848099752978,"[0.49728283764428344, 0.5013246425567703, 0.5033072696534235, 0.49473549049820237, 0.5282738095238095]",DecisionTreeClassifier
11,bank,target2,loan,0.501726927070232,"[0.4855499438832772, 0.49181124929627923, 0.5212775907220352, 0.5135188866799205, 0.4964769647696477]",0.5025561155585286,"[0.48252427184466024, 0.49058084772370486, 0.5295473732060523, 0.5139942734430923, 0.4961338115751338]",0.5004882263317303,"[0.48244946542818884, 0.4904311778238389, 0.5199687504209265, 0.51369601055061, 0.49589572743508725]",0.4036857338298089,"[0.37946139603294604, 0.3743125567088153, 0.45836690866400986, 0.4137922806662929, 0.3924955270769804]",0.5025561155585286,"[0.48252427184466024, 0.49058084772370486, 0.5295473732060523, 0.5139942734430923, 0.4961338115751338]",DecisionTreeClassifier
12,intention,target1,Revenue,0.7308124059768237,"[0.7185845428705643, 0.7438443922322769, 0.7322947571782008, 0.713596714427825, 0.7457416231752515]",0.7333646038077639,"[0.7156875068742832, 0.7422794325366864, 0.7436602280275949, 0.7267976713496722, 0.7383981802505823]",0.7319365550662178,"[0.7171178545443042, 0.7430572396297797, 0.7377187148902866, 0.719826571767419, 0.7419623944992992]",0.7104635824497517,"[0.6873027154789766, 0.7206272724570568, 0.7246801733805811, 0.7036789267203684, 0.7160288242117756]",0.7333646038077639,"[0.7156875068742832, 0.7422794325366864, 0.7436602280275949, 0.7267976713496722, 0.7383981802505823]",DecisionTreeClassifier
13,intention,target3,SpecialDay,0.2873184589093306,"[0.26769440436107106, 0.33512093185863207, 0.26181852550575163, 0.2751058262012203, 0.2968526066199784]",0.2940763901703862,"[0.26189958645432715, 0.3246076900274335, 0.2674373330691307, 0.2935209535310381, 0.32291638777000164]",0.2893441062656713,"[0.26428190940063073, 0.32827555383356977, 0.26380466485435744, 0.2828146715813644, 0.30754373165843424]",0.1187669752130415,"[0.0, 0.22302174487893017, 0.1794544060086067, 0.1913587251776706, 0.0]",0.8943284172614755,"[0.8876738994605603, 0.8970439400050085, 0.8929641614329582, 0.8913444171100529, 0.9026156682987972]",DecisionTreeClassifier
14,intention,target2,VisitorType,0.6509723556158514,"[0.644232982833749, 0.657080814232871, 0.6665017598359146, 0.6394752736057748, 0.6475709475709476]",0.6620740519037976,"[0.6428643055933316, 0.6705687926996493, 0.6855329470533904, 0.6676323453529356, 0.6437718688196814]",0.6556495592949372,"[0.6435418288421086, 0.6633002140107237, 0.6749714320919442, 0.6508145568683815, 0.6456197646615276]",0.6196860100755752,"[0.5899537246477261, 0.6293535498920357, 0.6543938092695104, 0.6341030992979486, 0.5906258672706555]",0.6620740519037976,"[0.6428643055933316, 0.6705687926996493, 0.6855329470533904, 0.6676323453529356, 0.6437718688196814]",DecisionTreeClassifier
15,anuran,target1,Family,0.8783272752270379,"[0.8663595524062555, 0.9053324935021949, 0.9249224042500226, 0.8425915966923013, 0.8524303292844156]",0.901033516352142,"[0.8942705225418938, 0.9217996865331379, 0.9039900341711377, 0.9055468618231236, 0.8795604766914171]",0.8876686909966949,"[0.8783135900793597, 0.9133750085177803, 0.9140769363171466, 0.8677783560037804, 0.8647995640654076]",0.8973317669099344,"[0.8905171715190203, 0.9202566973194906, 0.9008964576712354, 0.9005813467740817, 0.8744071612658446]",0.980440334131653,"[0.9812563274098007, 0.9807360397797449, 0.9809155330868462, 0.982094807088662, 0.9771989632932109]",DecisionTreeClassifier
16,anuran,target3,Species,0.8544150099648767,"[0.8505841635198317, 0.8413090949072716, 0.8826692073334558, 0.8258644095706534, 0.8716481744931718]",0.8558897029786413,"[0.8522955821165468, 0.8584005451982089, 0.8388409460245934, 0.8588183435325754, 0.8710930980212824]",0.8522330438710363,"[0.8509432279589421, 0.849183956626945, 0.8528959204063087, 0.8389424855581096, 0.8691996288048754]",0.8439413775144665,"[0.8454520566197818, 0.851022363723224, 0.8134665953841143, 0.8458482963083386, 0.8639175755368738]",0.9930521828838688,"[0.9935045168246015, 0.9932687926222797, 0.9926991499674646, 0.9923116870403309, 0.9934767679646669]",DecisionTreeClassifier
17,anuran,target2,Genus,0.8673458874534736,"[0.9157894264119317, 0.8475040997215608, 0.8897195735213013, 0.8540378937295832, 0.8296784438829915]",0.8672449186078028,"[0.8795892277408808, 0.8539201462152695, 0.8690128414253289, 0.8840456526037431, 0.8496567250537918]",0.8652686295426808,"[0.8946658182860059, 0.8495899593842293, 0.8777126047111478, 0.8652958707027937, 0.8390788946292269]",0.8630498966097795,"[0.8746690457656594, 0.8496314759561762, 0.8629121165919006, 0.8815239340346737, 0.8465129107004878]",0.9905595691502926,"[0.99198077322571, 0.9899619647222921, 0.9905631127107897, 0.9915050691404106, 0.9887869259522606]",DecisionTreeClassifier
18,telco,target1,Churn,0.6459781496916654,"[0.6411702358605014, 0.65834520201098, 0.6526004801551187, 0.6242506952312288, 0.6535241352004983]",0.6500648254133955,"[0.6592920481497171, 0.6574802482318445, 0.6509132377409284, 0.6226488948534944, 0.6599896980909932]",0.647474990737274,"[0.6478880466220358, 0.6579051512951681, 0.6517364169549058, 0.6234190815324164, 0.6564262572818438]",0.6311889095401797,"[0.6444634179088641, 0.642474761332763, 0.6270616666451357, 0.5977856207592371, 0.6441590810548987]",0.6500648254133955,"[0.6592920481497171, 0.6574802482318445, 0.6509132377409284, 0.6226488948534944, 0.6599896980909932]",DecisionTreeClassifier
19,telco,target3,PaymentMethod,0.3464503041516142,"[0.33543515295062626, 0.34776024075699685, 0.3482096639802546, 0.3579591836734694, 0.34288727939672403]",0.3464363469718184,"[0.3356035246222609, 0.34759252833007637, 0.3501093581755308, 0.35915665621550386, 0.33971966751572014]",0.3459962216732094,"[0.3354994094619027, 0.3473162261298256, 0.34866246968519693, 0.357891128882048, 0.34061187420707373]",0.3369338199802623,"[0.32449946677739316, 0.33810238369240464, 0.340852732530426, 0.349985581517235, 0.331228935383853]",0.7850644403997772,"[0.7807019547100106, 0.7850306163473129, 0.7851836665625325, 0.7901932508725209, 0.784212713506509]",DecisionTreeClassifier
20,telco,target2,Contract,0.6051394815128158,"[0.6099260868253538, 0.5991862467328164, 0.6000387456830943, 0.6157527089429163, 0.600793619379898]",0.6065998669383702,"[0.6093473299235549, 0.6031929274638544, 0.6008137632643562, 0.6124778983308934, 0.6071674157091921]",0.6055361594676867,"[0.6096344078747752, 0.6010920249258964, 0.6002079859941633, 0.6140386593462634, 0.602707719197335]",0.5721742778377936,"[0.5719343797844556, 0.5686998694820358, 0.5761711436848961, 0.5785592256026928, 0.5655067706348879]",0.8288386475310299,"[0.8313854710624025, 0.8226651399214345, 0.8276299733197131, 0.8335775808968253, 0.8289350724547738]",DecisionTreeClassifier
21,paris,target1,category,0.7087245742390611,"[0.7070925480483499, 0.7102565940366973, 0.7045497370539767, 0.7246999731514283, 0.6970240189048534]",0.7059206531801859,"[0.7146287270642202, 0.7138319221683876, 0.693719813480917, 0.7070163802368928, 0.7004064229505114]",0.707122257997591,"[0.7107460058477699, 0.7120191354814447, 0.6988939410439097, 0.7152613103902287, 0.698690897224602]",0.6701149610447581,"[0.6840477072312637, 0.681674316654255, 0.651456680142074, 0.6692686798371706, 0.6641274213590268]",0.7059206531801859,"[0.7146287270642202, 0.7138319221683876, 0.693719813480917, 0.7070163802368928, 0.7004064229505114]",DecisionTreeClassifier
22,paris,target3,hasStorageRoom,0.502866619779448,"[0.5013451345134514, 0.5110999899909918, 0.48406298003072196, 0.5218061671802812, 0.4960188271817937]",0.5028586689803657,"[0.5013462937883306, 0.5110903992543732, 0.4840599193393509, 0.5217772683445956, 0.4960194641751776]",0.5027248714800889,"[0.5012904172978694, 0.5109295738586357, 0.4839917438679019, 0.5214252226910454, 0.4959873996849921]",0.5027227566364862,"[0.5013217748158864, 0.5108682760851748, 0.48404543257331073, 0.521401270059583, 0.49597702964847623]",0.5028586689803657,"[0.5013462937883306, 0.5110903992543732, 0.4840599193393509, 0.5217772683445956, 0.4960194641751776]",DecisionTreeClassifier
23,paris,target2,isNewBuilt,0.4961255287126055,"[0.5146192775591989, 0.5028389070408098, 0.4843509581934727, 0.48284651688161095, 0.49597198388793556]",0.4961304680526329,"[0.5146161047190796, 0.5028372512277914, 0.48436699948796724, 0.48286314525810325, 0.4959688395702231]",0.4959222910337605,"[0.5144940525521438, 0.5024849501697427, 0.48428327004423605, 0.4824626079234225, 0.4958865744792579]",0.4959353407758887,"[0.5145251422443496, 0.5025807308676372, 0.48408160204642786, 0.48252163770378315, 0.4959675910172459]",0.4961304680526329,"[0.5146161047190796, 0.5028372512277914, 0.48436699948796724, 0.48286314525810325, 0.4959688395702231]",DecisionTreeClassifier
24,smoking,target1,smoking,0.6591018405556908,"[0.6569742265894991, 0.6609078766165857, 0.6569683444573475, 0.667701837533117, 0.6529569175819044]",0.6592762864452821,"[0.6574757827710358, 0.6605247614582255, 0.6572562428103168, 0.6687074298625866, 0.652417215324246]",0.6591809959170778,"[0.657219042914861, 0.6607131776380162, 0.6571104115802393, 0.6681831489540877, 0.6526791984981849]",0.6531322984818229,"[0.6514628452464565, 0.6537987212455127, 0.6508424066439162, 0.6634342078782325, 0.6461233113949965]",0.6592762864452821,"[0.6574757827710358, 0.6605247614582255, 0.6572562428103168, 0.6687074298625866, 0.652417215324246]",DecisionTreeClassifier
25,smoking,target3,dental caries,0.5089346947516791,"[0.5086701629903851, 0.5074989925328408, 0.5111405570215202, 0.5084918113306012, 0.5088719498830477]",0.5095561651266518,"[0.5095417799884837, 0.5079537324307579, 0.5117474351511138, 0.5088608339232424, 0.509677044139661]",0.5088735828918161,"[0.5083996399242199, 0.5074692586553423, 0.5112283019860735, 0.5085417442260664, 0.5087289696673787]",0.4383397305941025,"[0.4428699692655744, 0.43500961622197903, 0.44096856050972094, 0.4346072029845482, 0.43824330398869]",0.5095561651266518,"[0.5095417799884837, 0.5079537324307579, 0.5117474351511138, 0.5088608339232424, 0.509677044139661]",DecisionTreeClassifier
26,smoking,target2,tartar,0.5036457773862641,"[0.503432657555399, 0.5040620634354317, 0.5099717030621193, 0.49920816029036974, 0.5015543025880008]",0.5036434215173795,"[0.5034465307831915, 0.5040593537311563, 0.5099456792728612, 0.49920619616506934, 0.5015593476346193]",0.5036224493560821,"[0.5033921826611988, 0.5040596214870586, 0.5099404151613761, 0.4991918923979548, 0.5015281350728222]",0.5009022276855845,"[0.5012979398845586, 0.5008574655924632, 0.506837291992686, 0.49638960081423694, 0.49912884014397785]",0.5036434215173795,"[0.5034465307831915, 0.5040593537311563, 0.5099456792728612, 0.49920619616506934, 0.5015593476346193]",DecisionTreeClassifier
27,flight,target1,satisfaction,0.9327585032676804,"[0.9310821661294717, 0.934159026243473, 0.9330309162004877, 0.9304051524647934, 0.9351152553001754]",0.93321112066914,"[0.9324220667059895, 0.9342958318962257, 0.9333740180493776, 0.9307647693671693, 0.9351989173269379]",0.9329767259625608,"[0.9317167172615577, 0.9342270991995447, 0.9332002467739923, 0.9305826258526566, 0.9351569407250528]",0.9331847514918912,"[0.932417408164025, 0.9342595437124441, 0.9333461866769732, 0.93073244975667, 0.9351681691493435]",0.93321112066914,"[0.9324220667059895, 0.9342958318962257, 0.9333740180493776, 0.9307647693671693, 0.9351989173269379]",DecisionTreeClassifier
28,flight,target3,Class,0.603719877441195,"[0.6094000613700834, 0.6029384596658607, 0.6004453104121977, 0.6000299872607533, 0.6057855684970801]",0.6052549317153212,"[0.6123702168222992, 0.6042735326809235, 0.6010921954981415, 0.600991922022115, 0.6075467915531266]",0.6040380259191968,"[0.6102040798026527, 0.6032270308463484, 0.6004996905387561, 0.600134331802014, 0.6061249966062124]",0.4899872902820069,"[0.5105260793761338, 0.4873242404958106, 0.4749687258531898, 0.48350361734180164, 0.4936137883430984]",0.8795817040539641,"[0.8804684346021164, 0.8785737854639827, 0.8800527860756886, 0.8772719314240597, 0.8815415827039731]",DecisionTreeClassifier
29,flight,target2,Customer Type,0.9487432959561376,"[0.9535819983959901, 0.9469355042613128, 0.9518779122480915, 0.9441585402752064, 0.9471625246000865]",0.9510441936297664,"[0.9523096670409021, 0.9483970512395586, 0.9548044118832839, 0.9462876822191819, 0.953422155765905]",0.9498825955368216,"[0.9529442490204963, 0.9476641414392801, 0.9533325313151346, 0.9452185757415235, 0.9502534801676739]",0.9505725167707804,"[0.9518056858377819, 0.9478590172796209, 0.9544321546347443, 0.9457087392734044, 0.95305698682835]",0.9510441936297664,"[0.9523096670409021, 0.9483970512395586, 0.9548044118832839, 0.9462876822191819, 0.953422155765905]",DecisionTreeClassifier
0,imdb,target1,imdb_score,0.5180230742874112,"[0.48711177372504605, 0.5460014247582508, 0.5135794216676569, 0.5095670505256816, 0.5338557007604208]",0.6359646954094906,"[0.6430232616208226, 0.6304248818171336, 0.61900884103272, 0.6103328886347754, 0.677033603942001]",0.4382296900119131,"[0.4152419261212554, 0.45898673929789807, 0.4303416947793847, 0.42369164970185996, 0.46288644015916747]",0.5984291057160931,"[0.6014817753232704, 0.5984567743891716, 0.5831906239839273, 0.5698289876549899, 0.6391873672291066]",0.7481394755361274,"[0.7546158309779664, 0.7569876780069237, 0.7279301791753922, 0.7401541380983377, 0.761009551422017]",GaussianNB
1,imdb,target3,gross,0.7151712974403948,"[0.733403511154878, 0.6623266078184111, 0.7337283217024805, 0.7113756211337592, 0.7350224253924444]",0.6593304271404238,"[0.6600336823152323, 0.6617503848207835, 0.5541317949784769, 0.7074073766957445, 0.7133288968918813]",0.6423136980255825,"[0.667022792022792, 0.6016014298480786, 0.5130102040816327, 0.709277703381319, 0.7206563607940902]",0.5972756849528693,"[0.607287468245106, 0.6305353627796311, 0.35238882163733926, 0.6974244587415426, 0.6987423133607278]",0.6593304271404238,"[0.6600336823152323, 0.6617503848207835, 0.5541317949784769, 0.7074073766957445, 0.7133288968918813]",GaussianNB
2,imdb,target2,content_rating,0.1375926270351026,"[0.1986413599194043, 0.16087968277409273, 0.08540231304276248, 0.1176069667614342, 0.1254328126778195]",0.2382473395552752,"[0.267075230765707, 0.24780892634431298, 0.23575123902269368, 0.23175746348947954, 0.20884383815418298]",0.1103657424497207,"[0.14634933541316292, 0.11954689259145371, 0.08683168719201416, 0.09724220321860709, 0.10185859383336558]",0.0301117531608639,"[0.15055876580431987, 0.0, 0.0, 0.0, 0.0]",0.8614436912918684,"[0.8620587756863963, 0.8592751629365224, 0.8621755004143129, 0.8621075417238213, 0.8616014756982887]",GaussianNB
3,mushroom,target1,Class,0.9949637148408076,"[0.9941724941724941, 0.998123574814352, 0.9913367478774455, 0.9934329483509812, 0.9977528089887641]",0.9964403717943464,"[0.9964539007092199, 0.998123574814352, 0.9938073470469376, 0.9952768904158211, 0.9985401459854015]",0.9956871206229692,"[0.9952898082130057, 0.998123574814352, 0.9925394339485492, 0.9943399064171122, 0.998142879721827]",0.9964367919014396,"[0.9964475909040272, 0.9981234761675846, 0.9937997189310885, 0.9952740946644141, 0.9985390788400837]",0.9964403717943464,"[0.9964539007092199, 0.998123574814352, 0.9938073470469376, 0.9952768904158211, 0.9985401459854015]",GaussianNB
4,mushroom,target3,habitat,0.6775231823189173,"[0.6826224306695955, 0.6711722607343003, 0.674223316939537, 0.6864292013101537, 0.6731687019410001]",0.8439442903922583,"[0.8450990364025696, 0.8449457621478297, 0.8399416947015839, 0.8487453999194986, 0.8409895587898091]",0.6963358828964382,"[0.6960061685537484, 0.6934676178182109, 0.6953678832341937, 0.7042489734621497, 0.692588771413888]",0.8032508558022509,"[0.8034038952084858, 0.8050552047389566, 0.7969794498487347, 0.8106100301813037, 0.8002056990337731]",0.9327260508044948,"[0.9329562653552029, 0.9320874328921364, 0.9316305935655004, 0.9351577922322155, 0.9317981699774182]",GaussianNB
5,mushroom,target2,population,0.6356963579947398,"[0.6363025448731694, 0.6296680994149291, 0.6349145907869561, 0.6278584740644176, 0.6497380808342266]",0.7297056343457659,"[0.7296190774775712, 0.7230649267091865, 0.7295864166164948, 0.7305709824657193, 0.7356867684598573]",0.588278611748461,"[0.5954318149410714, 0.571210133051944, 0.5906840076894049, 0.5765826940341959, 0.6074844090256886]",0.5586035808596153,"[0.5732329682163022, 0.5304331162573909, 0.5728654534408351, 0.5545009889324308, 0.5619853774511172]",0.8914627933926891,"[0.8910913438927305, 0.8879861004879696, 0.8908007601868212, 0.890609101792719, 0.8968266606032053]",GaussianNB
